"","video","corpus","utt.num","speech.act","elicit.action","parent.exec","child.exec","action.has","event.start","event.end","Key","VerbOnset","age_months","age_group","is.imperative","age_scaled"
"98","A14","A",40,"imperative",1,0,"1","1","151760","158920","A14,40","151.484673",14,12,"TRUE",-0.206102886750555
"99","A14","A",43,"interrogative",1,0,"0","0","","","A14,43","177.685339",14,12,"FALSE",-0.206102886750555
"100","A14","A",45,"interrogative",1,0,"0","0","196880","199920","A14,45","182.014536",14,12,"FALSE",-0.206102886750555
"101","A14","A",45,"interrogative",1,0,"0","0","","","A14,45","182.014536",14,12,"FALSE",-0.206102886750555
"102","A14","A",46,"imperative",1,1,"0","1","194400","196978","A14,46","185.527899",14,12,"TRUE",-0.206102886750555
"103","A14","A",47,"imperative",1,0,"0","0","","","A14,47","187.986581",14,12,"TRUE",-0.206102886750555
"104","A14","A",48,"imperative",1,0,"0","0","","","A14,48","191.556017",14,12,"TRUE",-0.206102886750555
"105","A14","A",49,"imperative",1,0,"1","1","196880","199920","A14,49","195.375066",14,12,"TRUE",-0.206102886750555
"106","A14","A",50,"imperative",1,0,"1","1","196880","199920","A14,50","196.6143",14,12,"TRUE",-0.206102886750555
"107","A14","A",50,"declarative",1,NA,"","0","","","A14,50","196.6143",14,12,"FALSE",-0.206102886750555
"108","A14","A",54,"declarative",1,0,"1","1","210400","216440","A14,54",NA,14,12,"FALSE",-0.206102886750555
"109","A14","A",55,"interrogative",1,1,"0","1","216440","217240","A14,55","216.638986",14,12,"FALSE",-0.206102886750555
"110","A14","A",57,"imperative",1,0,"0","0","","","A14,57","218.172409",14,12,"TRUE",-0.206102886750555
"111","A14","A",59,"imperative",1,0,"0","0","","","A14,59","222.131629",14,12,"TRUE",-0.206102886750555
"112","A14","A",62,"imperative",1,1,"1","1","245280","254555","A14,62","244.052717",14,12,"TRUE",-0.206102886750555
"113","A14","A",63,"imperative",1,1,"1","1","254555","265328","A14,63","244.574091",14,12,"TRUE",-0.206102886750555
"114","A14","A",64,"imperative",1,1,"1","1","245440","247085","A14,64","245.58448",14,12,"TRUE",-0.206102886750555
"115","A14","A",66,"interrogative",1,1,"1","1","245800","262688","A14,66","252.074044",14,12,"FALSE",-0.206102886750555
"116","A14","A",67,"interrogative",1,0,"1","1","257400","264280","A14,67","256.093095",14,12,"FALSE",-0.206102886750555
"117","A14","A",68,"interrogative",1,0,"0","0","","","A14,68","261.866764",14,12,"FALSE",-0.206102886750555
"118","A14","A",70,"interrogative",1,0,"1","1","287120","290957","A14,70","280.245947",14,12,"FALSE",-0.206102886750555
"119","A14","A",72,"imperative",1,1,"1","1","287080","296000","A14,72","286.553676",14,12,"TRUE",-0.206102886750555
"120","A14","A",76,"imperative",1,1,"1","1","303000","313705","A14,76","302.951591",14,12,"TRUE",-0.206102886750555
"121","A14","A",78,"interrogative",1,1,"1","1","306360","318548","A14,78","307.158358",14,12,"FALSE",-0.206102886750555
"122","A14","A",85,"interrogative",1,0,"1","1","328600","329840","A14,85","327.908281",14,12,"FALSE",-0.206102886750555
"123","A14","A",94,"declarative",1,1,"0","1","363040","367680","A14,94","363.656918",14,12,"FALSE",-0.206102886750555
"124","A14","A",104,"imperative",1,0,"0","0","","","A14,104","423.439297",14,12,"TRUE",-0.206102886750555
"125","A14","A",105,"imperative",1,0,"0","0","","","A14,105","425.041994",14,12,"TRUE",-0.206102886750555
"126","A14","A",107,"imperative",1,0,"1","1","450720","459216","A14,107","448.590309",14,12,"TRUE",-0.206102886750555
"127","A14","A",109,"interrogative",1,0,"0","0","","","A14,109","452.629256",14,12,"FALSE",-0.206102886750555
"128","A14","A",112,"imperative",1,0,"1","1","481360","486720","A14,112","483.410909",14,12,"TRUE",-0.206102886750555
"129","A14","A",113,"imperative",1,1,"0","1","484600","489960","A14,113","486.465365",14,12,"TRUE",-0.206102886750555
"130","A14","A",114,"interrogative",1,1,"1","1","488480","489960","A14,114","487.804588",14,12,"FALSE",-0.206102886750555
"131","A14","A",116,"declarative",1,0,"1","1","492000","505000","A14,116",NA,14,12,"FALSE",-0.206102886750555
"132","A14","A",122,"interrogative",1,0,"1","1","513880","515720","A14,122","514.426386",14,12,"FALSE",-0.206102886750555
"133","A14","A",125,"interrogative",1,0,"1","1","522400","523320","A14,125","522.419019",14,12,"FALSE",-0.206102886750555
"134","A14","A",129,"interrogative",1,0,"1","1","529520","531200","A14,129","536.738374",14,12,"FALSE",-0.206102886750555
"135","A14","A",133,"declarative",1,1,"0","1","551080","553440","A14,133",NA,14,12,"FALSE",-0.206102886750555
"136","A14","A",134,"declarative",1,1,"0","1","550920","553520","A14,134",NA,14,12,"FALSE",-0.206102886750555
"137","A14","A",135,"imperative",1,1,"0","1","555160","555480","A14,135","555.438128",14,12,"TRUE",-0.206102886750555
"138","A14","A",136,"imperative",1,1,"0","0","561460","562240","A14,136","557.36313",14,12,"TRUE",-0.206102886750555
"139","A14","A",136,"imperative",1,1,"1","1","558000","559440","A14,136","557.36313",14,12,"TRUE",-0.206102886750555
"140","A14","A",137,"imperative",1,0,"1","1","561000","561880","A14,137","559.824829",14,12,"TRUE",-0.206102886750555
"141","A14","A",139,"declarative",1,0,"1","1","569280","571400","A14,139","568.320664",14,12,"FALSE",-0.206102886750555
"142","A14","A",141,"interrogative",1,0,"1","1","582600","583000","A14,141","580.188855",14,12,"FALSE",-0.206102886750555
"143","A14","A",143,"interrogative",1,0,"1","1","599960","601000","A14,143","585.959106",14,12,"FALSE",-0.206102886750555
"144","A14","A",144,"interrogative",1,0,"1","1","599960","601000","A14,144","588.301202",14,12,"FALSE",-0.206102886750555
"145","A14","A",146,"interrogative",1,0,"1","1","599960","601000","A14,146","593.839995",14,12,"FALSE",-0.206102886750555
"146","A14","A",148,"imperative",1,0,"1","1","614520","619960","A14,148","614.71528",14,12,"TRUE",-0.206102886750555
"147","A14","A",151,"declarative",1,0,"1","1","622400","626640","A14,151",NA,14,12,"FALSE",-0.206102886750555
"148","A14","A",156,"declarative",1,1,"0","1","644920","646040","A14,156","643.792986",14,12,"FALSE",-0.206102886750555
"149","A14","A",163,"declarative",1,1,"0","1","702840","704320","A14,163",NA,14,12,"FALSE",-0.206102886750555
"150","A14","A",164,"declarative",1,0,"0","0","","","A14,164",NA,14,12,"FALSE",-0.206102886750555
"151","A16","A",1,"declarative",1,0,"1","1","56360","59040","A16,1","55.244269",14,12,"FALSE",-0.206102886750555
"152","A16","A",2,"declarative",1,0,"0","0","","","A16,2",NA,14,12,"FALSE",-0.206102886750555
"153","A16","A",4,"imperative",1,1,"1","1","64840","8160","A16,4","64.916052",14,12,"TRUE",-0.206102886750555
"154","A16","A",5,"interrogative",1,1,"0","1","66440","68880","A16,5",NA,14,12,"FALSE",-0.206102886750555
"155","A16","A",9,"interrogative",1,0,"1","1","76440","7800","A16,9",NA,14,12,"FALSE",-0.206102886750555
"156","A16","A",13,"imperative",1,0,"1","1","101880","102800","A16,13",NA,14,12,"TRUE",-0.206102886750555
"157","A16","A",15,"interrogative",1,0,"0","0","","","A16,15",NA,14,12,"FALSE",-0.206102886750555
"158","A16","A",18,"interrogative",1,0,"0","0","","","A16,18",NA,14,12,"FALSE",-0.206102886750555
"159","A16","A",20,"imperative",1,0,"0","0","","","A16,20","122.816854",14,12,"TRUE",-0.206102886750555
"160","A16","A",24,"interrogative",1,0,"0","0","","","A16,24","129.162297",14,12,"FALSE",-0.206102886750555
"161","A16","A",25,"interrogative",1,0,"0","0","","","A16,25","130.017297",14,12,"FALSE",-0.206102886750555
"162","A16","A",26,"interrogative",1,0,"1","1","134960","140480","A16,26","134.43176",14,12,"FALSE",-0.206102886750555
"163","A16","A",27,"imperative",1,0,"1","1","138489","142440","A16,27","137.633817",14,12,"TRUE",-0.206102886750555
"164","A16","A",31,"interrogative",1,0,"1","1","144280","146600","A16,31","142.740614",14,12,"FALSE",-0.206102886750555
"165","A16","A",35,"declarative",1,1,"0","1","149040","156040","A16,35",NA,14,12,"FALSE",-0.206102886750555
"166","A16","A",36,"imperative",1,0,"1","1","155000","162760","A16,36","153.230954",14,12,"TRUE",-0.206102886750555
"167","A16","A",42,"interrogative",1,1,"1","1","169120","179640","A16,42",NA,14,12,"FALSE",-0.206102886750555
"168","A16","A",52,"imperative",1,0,"1","1","193400","201200","A16,52","192.83854",14,12,"TRUE",-0.206102886750555
"169","A16","A",54,"interrogative",1,0,"0","0","","","A16,54",NA,14,12,"FALSE",-0.206102886750555
"170","A16","A",55,"interrogative",1,1,"0","1","205480","210840","A16,55",NA,14,12,"FALSE",-0.206102886750555
"171","A16","A",58,"declarative",1,0,"0","0","","","A16,58",NA,14,12,"FALSE",-0.206102886750555
"172","A16","A",60,"declarative",1,1,"1","1","221280","228680","A16,60","219.697033",14,12,"FALSE",-0.206102886750555
"173","A16","A",62,"interrogative",1,0,"0","0","","","A16,62",NA,14,12,"FALSE",-0.206102886750555
"174","A16","A",63,"interrogative",1,0,"0","0","","","A16,63","228.734642",14,12,"FALSE",-0.206102886750555
"175","A16","A",64,"interrogative",1,0,"0","0","","","A16,64","230.190906",14,12,"FALSE",-0.206102886750555
"176","A16","A",66,"interrogative",1,1,"1","1","233720","235200","A16,66","232.283178",14,12,"FALSE",-0.206102886750555
"177","A16","A",67,"imperative",1,0,"0","0","","","A16,67",NA,14,12,"TRUE",-0.206102886750555
"178","A16","A",78,"interrogative",1,0,"1","1","260840","263240","A16,78",NA,14,12,"FALSE",-0.206102886750555
"179","A16","A",81,"interrogative",1,0,"1","1","279240","281680","A16,81","274.24946",14,12,"FALSE",-0.206102886750555
"180","A16","A",85,"declarative",1,0,"1","1","281320","281640","A16,85",NA,14,12,"FALSE",-0.206102886750555
"181","A16","A",86,"interrogative",1,0,"0","0","","","A16,86","286.920206",14,12,"FALSE",-0.206102886750555
"182","A16","A",87,"interrogative",1,0,"0","0","","","A16,87",NA,14,12,"FALSE",-0.206102886750555
"183","A16","A",89,"imperative",1,0,"0","0","","","A16,89",NA,14,12,"TRUE",-0.206102886750555
"184","A16","A",102,"declarative",1,0,"0","0","","","A16,102",NA,14,12,"FALSE",-0.206102886750555
"185","A16","A",104,"declarative",1,1,"1","1","333440","343693","A16,104","332.339908",14,12,"FALSE",-0.206102886750555
"186","A16","A",105,"imperative",1,0,"1","1","334320","336040","A16,105","333.687344",14,12,"TRUE",-0.206102886750555
"187","A16","A",107,"interrogative",1,0,"1","1","339920","341800","A16,107","339.022903",14,12,"FALSE",-0.206102886750555
"188","A16","A",118,"interrogative",1,1,"0","1","374600","376360","A16,118",NA,14,12,"FALSE",-0.206102886750555
"189","A16","A",121,"imperative",1,0,"0","0","","","A16,121","390.59475",14,12,"TRUE",-0.206102886750555
"190","A16","A",128,"imperative",1,0,"0","0","","","A16,128","399.841199",14,12,"TRUE",-0.206102886750555
"191","A16","A",129,"imperative",1,0,"0","0","","","A16,129","405.745548",14,12,"TRUE",-0.206102886750555
"192","A16","A",130,"imperative",1,0,"0","0","","","A16,130","406.362437",14,12,"TRUE",-0.206102886750555
"193","A16","A",132,"interrogative",1,0,"1","1","415080","420800","A16,132","416.018563",14,12,"FALSE",-0.206102886750555
"194","A16","A",136,"interrogative",1,0,"1","1","425200","425920","A16,136",NA,14,12,"FALSE",-0.206102886750555
"195","A16","A",140,"imperative",1,0,"0","0","447500","451086","A16,140","446.63848",14,12,"TRUE",-0.206102886750555
"196","A16","A",140,"declarative",1,NA,"","1","448570","450350","A16,140","446.63848",14,12,"FALSE",-0.206102886750555
"197","A16","A",142,"interrogative",1,0,"0","0","","","A16,142",NA,14,12,"FALSE",-0.206102886750555
"198","A16","A",143,"interrogative",1,0,"1","1","454880","458560","A16,143","455.07268",14,12,"FALSE",-0.206102886750555
"199","A16","A",156,"interrogative",1,0,"0","0","","","A16,156",NA,14,12,"FALSE",-0.206102886750555
"200","A16","A",160,"interrogative",1,0,"1","1","501680","506760","A16,160",NA,14,12,"FALSE",-0.206102886750555
"201","A16","A",165,"interrogative",1,0,"1","1","513040","517120","A16,165",NA,14,12,"FALSE",-0.206102886750555
"202","A16","A",167,"interrogative",1,0,"1","1","513840","515120","A16,167","512.452633",14,12,"FALSE",-0.206102886750555
"203","A16","A",168,"imperative",1,0,"1","1","515040","51560","A16,168","514.63703",14,12,"TRUE",-0.206102886750555
"204","A16","A",170,"interrogative",1,1,"0","1","522960","525040","A16,170","522.436009",14,12,"FALSE",-0.206102886750555
"205","A16","A",173,"imperative",1,0,"0","0","","","A16,173",NA,14,12,"TRUE",-0.206102886750555
"206","A16","A",177,"imperative",1,0,"1","1","542520","546280","A16,177",NA,14,12,"TRUE",-0.206102886750555
"207","A16","A",178,"declarative",1,0,"0","0","","","A16,178","547.967266",14,12,"FALSE",-0.206102886750555
"208","A16","A",179,"interrogative",1,0,"0","0","","","A16,179",NA,14,12,"FALSE",-0.206102886750555
"209","A16","A",182,"interrogative",1,0,"1","1","557880","562880","A16,182",NA,14,12,"FALSE",-0.206102886750555
"210","A16","A",186,"declarative",1,0,"0","0","","","A16,186",NA,14,12,"FALSE",-0.206102886750555
"211","A16","A",188,"interrogative",1,0,"1","1","576920","584760","A16,188","575.477993",14,12,"FALSE",-0.206102886750555
"212","A16","A",197,"imperative",1,0,"1","1","590840","593720","A16,197","592.225277",14,12,"TRUE",-0.206102886750555
"213","A16","A",198,"interrogative",1,0,"1","1","598520","604153","A16,198","593.175894",14,12,"FALSE",-0.206102886750555
"214","A16","A",203,"declarative",1,1,"1","1","601080","601880","A16,203",NA,14,12,"FALSE",-0.206102886750555
"215","A16","A",204,"declarative",1,0,"1","1","602320","606960","A16,204","603.298346",14,12,"FALSE",-0.206102886750555
"216","A16","A",206,"declarative",1,1,"0","1","607120","609040","A16,206",NA,14,12,"FALSE",-0.206102886750555
